[2026-03-17T17:51:29.263Z] GET http://localhost:5173/src/components/ui/textarea.tsx → 200 (7ms, 4531B)
[2026-03-17T17:51:29.263Z] GET http://localhost:5173/src/components/ui/switch.tsx → 200 (7ms, 6294B)
[2026-03-17T17:51:29.263Z] GET http://localhost:5173/src/components/ui/select.tsx → 200 (8ms, 25404B)
[2026-03-17T17:51:29.263Z] GET http://localhost:5173/src/components/ui/slider.tsx → 200 (8ms, 6468B)
[2026-03-17T17:51:29.263Z] GET http://localhost:5173/src/lib/buildSlideHTML.ts → 200 (8ms, 22845B)
[2026-03-17T17:51:29.263Z] GET http://localhost:5173/src/components/ui/badge.tsx → 200 (8ms, 5442B)
[2026-03-17T17:51:29.263Z] GET http://localhost:5173/src/components/wizard/SlideEditor.tsx → 200 (8ms, 9756B)
[2026-03-17T17:51:29.263Z] GET http://localhost:5173/src/components/wizard/InteractiveSlideCanvas.tsx → 200 (12ms, 45616B)
[2026-03-17T17:51:29.263Z] GET http://localhost:5173/src/components/wizard/SlideZoneOverrides.tsx → 200 (13ms, 53930B)
[2026-03-17T17:51:29.263Z] GET http://localhost:5173/src/components/wizard/SlidePresetManager.tsx → 200 (17ms, 24204B)
[2026-03-17T17:51:29.263Z] GET http://localhost:5173/src/components/ui/tabs.tsx → 200 (17ms, 9053B)
[2026-03-17T17:51:29.263Z] GET http://localhost:5173/@fs/C:/Webprojects/Content-Creation/node_modules/.vite/deps/@dnd-kit_core.js?v=ac0becae → 200 (22ms, 7480B)
[2026-03-17T17:51:29.263Z] GET http://localhost:5173/@fs/C:/Webprojects/Content-Creation/node_modules/.vite/deps/@dnd-kit_sortable.js?v=ac0becae → 200 (22ms, 20333B)
[2026-03-17T17:51:29.263Z] GET http://localhost:5173/@fs/C:/Webprojects/Content-Creation/node_modules/.vite/deps/@dnd-kit_utilities.js?v=ac0becae → 200 (22ms, 5060B)
[2026-03-17T17:51:29.263Z] GET http://localhost:5173/@fs/C:/Webprojects/Content-Creation/node_modules/.vite/deps/clsx.js?v=ac0becae → 200 (22ms, 1485B)
[2026-03-17T17:51:29.263Z] GET http://localhost:5173/@fs/C:/Webprojects/Content-Creation/node_modules/.vite/deps/tailwind-merge.js?v=ac0becae → 200 (28ms, 99405B)
[2026-03-17T17:51:29.263Z] GET http://localhost:5173/src/components/settings/EditableList.tsx → 200 (23ms, 9569B)
[2026-03-17T17:51:29.264Z] GET http://localhost:5173/src/hooks/useAutoSave.ts → 200 (22ms, 5340B)
[2026-03-17T17:51:29.264Z] GET http://localhost:5173/@fs/C:/Webprojects/Content-Creation/src/main/data/master-prompt-default.ts → 200 (21ms, 2913B)
[2026-03-17T17:51:29.264Z] GET http://localhost:5173/src/components/ui/input.tsx → 200 (27ms, 4845B)
[2026-03-17T17:51:29.264Z] GET http://localhost:5173/src/components/settings/BrandColorPicker.tsx → 200 (22ms, 12163B)
[2026-03-17T17:51:29.264Z] GET http://localhost:5173/src/components/settings/FontUpload.tsx → 200 (22ms, 29373B)
[2026-03-17T17:51:29.264Z] GET http://localhost:5173/src/components/settings/LogoPlacement.tsx → 200 (27ms, 38813B)
[2026-03-17T17:51:29.264Z] GET http://localhost:5173/src/components/settings/BrandPreview.tsx → 200 (27ms, 31658B)
[2026-03-17T17:51:29.264Z] GET http://localhost:5173/src/components/templates/TemplateList.tsx → 200 (27ms, 7647B)
[2026-03-17T17:51:29.264Z] GET http://localhost:5173/src/components/templates/TemplateBuilder.tsx → 200 (27ms, 61516B)
[2026-03-17T17:51:29.271Z] GET http://localhost:5173/@fs/C:/Webprojects/Content-Creation/node_modules/.vite/deps/@radix-ui_react-label.js?v=ac0becae → 200 (21ms, 7059B)
[2026-03-17T17:51:29.271Z] GET http://localhost:5173/@fs/C:/Webprojects/Content-Creation/node_modules/.vite/deps/class-variance-authority.js?v=ac0becae → 200 (20ms, 2417B)
[2026-03-17T17:51:29.271Z] GET http://localhost:5173/@fs/C:/Webprojects/Content-Creation/node_modules/.vite/deps/@radix-ui_react-switch.js?v=ac0becae → 200 (21ms, 5428B)
[2026-03-17T17:51:29.271Z] GET http://localhost:5173/@fs/C:/Webprojects/Content-Creation/node_modules/.vite/deps/@radix-ui_react-slider.js?v=ac0becae → 200 (21ms, 21107B)
[2026-03-17T17:51:29.271Z] GET http://localhost:5173/@fs/C:/Webprojects/Content-Creation/node_modules/.vite/deps/@radix-ui_react-select.js?v=ac0becae → 200 (33ms, 172843B)
[2026-03-17T17:51:29.276Z] GET http://localhost:5173/@fs/C:/Webprojects/Content-Creation/node_modules/.vite/deps/react-konva.js?v=ac0becae → 200 (44ms, 1067070B)
[2026-03-17T17:51:29.276Z] GET http://localhost:5173/src/lib/canvasConstants.ts → 200 (33ms, 1656B)
[2026-03-17T17:51:29.276Z] GET http://localhost:5173/src/lib/loadCustomFonts.ts → 200 (28ms, 3426B)
[2026-03-17T17:51:29.276Z] GET http://localhost:5173/@fs/C:/Webprojects/Content-Creation/node_modules/.vite/deps/react-colorful.js?v=ac0becae → 200 (34ms, 19959B)
[2026-03-17T17:51:29.281Z] GET http://localhost:5173/@fs/C:/Webprojects/Content-Creation/node_modules/.vite/deps/@radix-ui_react-tabs.js?v=ac0becae → 200 (29ms, 20572B)
[2026-03-17T17:51:29.285Z] GET http://localhost:5173/@fs/C:/Webprojects/Content-Creation/node_modules/.vite/deps/chunk-JULK5JDF.js?v=ac0becae → 200 (26ms, 103705B)
[2026-03-17T17:51:29.285Z] GET http://localhost:5173/@fs/C:/Webprojects/Content-Creation/node_modules/.vite/deps/chunk-6WS5F5ZA.js?v=ac0becae → 200 (25ms, 8145B)
[2026-03-17T17:51:29.292Z] GET http://localhost:5173/@fs/C:/Webprojects/Content-Creation/node_modules/.vite/deps/chunk-U7P2NEEE.js?v=ac0becae → 200 (17ms, 626B)
[2026-03-17T17:51:29.292Z] GET http://localhost:5173/src/components/templates/TemplateCard.tsx → 200 (18ms, 23238B)
[2026-03-17T17:51:29.304Z] GET http://localhost:5173/src/components/templates/ZoneEditor.tsx → 200 (12ms, 66569B)
[2026-03-17T17:51:29.304Z] GET http://localhost:5173/src/components/templates/ZonePopover.tsx → 200 (12ms, 19883B)
[2026-03-17T17:51:29.304Z] GET http://localhost:5173/src/components/templates/OverlayControls.tsx → 200 (11ms, 20958B)
[2026-03-17T17:51:29.304Z] GET http://localhost:5173/src/components/templates/BackgroundSelector.tsx → 200 (12ms, 31980B)
[2026-03-17T17:51:29.304Z] GET http://localhost:5173/@fs/C:/Webprojects/Content-Creation/node_modules/.vite/deps/chunk-ACMFYZ7E.js?v=ac0becae → 200 (12ms, 2043B)
